protocol_name,date,sessionstarttime,sampletime,stage,speed,heartrate_bpm
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:09:27,1,6.0,113
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:09:32,1,6.0,113
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:09:37,1,6.0,113
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:09:42,1,6.0,113
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:09:47,1,6.0,111
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:09:52,1,6.0,111
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:09:57,1,6.0,112
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:02,1,6.0,110
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:07,1,6.0,111
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:12,1,6.0,110
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:17,1,6.0,109
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:22,1,6.0,110
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:27,1,6.0,111
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:32,1,6.0,111
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:37,1,6.0,113
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:42,1,6.0,112
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:47,1,6.0,113
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:52,1,6.0,114
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:10:57,1,6.0,115
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:02,1,6.0,116
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:07,1,6.0,115
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:12,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:17,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:22,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:27,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:32,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:37,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:42,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:47,1,6.0,120
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:52,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:11:57,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:02,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:07,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:12,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:17,1,6.0,117
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:22,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:27,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:32,1,6.0,117
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:37,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:42,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:47,1,6.0,117
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:52,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:12:57,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:13:02,1,6.0,118
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:13:07,1,6.0,119
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:13:12,1,6.0,121
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:13:17,1,6.0,121
interval_run,1677-09-22,1677-09-22 00:00:00,1677-09-22 00:13:22,1,6.0,121
